City,suitableSolar
Abaiara,36.4
Acarape,16.1
Acaraú,186.8
Acopiara,774.7
Aiuaba,849.9
Alcântaras,3.2
Altaneira,7.6
Alto Santo,323.4
Amontada,170.4
Antonina do Norte,69.1
Apuiarés,265.7
Aquiraz,13.8
Aracati,307.4
Aracoiaba,248.9
Ararendá,177.2
Araripe,468.1
Aratuba,2.9
Arneiroz,279.4
Assaré,225.6
Aurora,190.7
Baixio,69.8
Banabuiú,437.4
Barbalha,109.1
Barreira,73.1
Barro,171.1
Barroquinha,18.5
Baturité,42.1
Beberibe,243.1
Bela Cruz,206.9
Boa Viagem,876.7
Brejo Santo,148.6
Camocim,82.9
Campos Sales,390.7
Canindé,760.5
Capistrano,42.7
Caridade,299
Cariré,263.5
Caririaçu,46.9
Cariús,205.3
Carnaubal,133
Cascavel,73.9
Catarina,132.3
Catunda,103.5
Caucaia,206.3
Cedro,238.6
Chaval,43.9
Choró,230.7
Chorozinho,45.8
Coreaú,106.2
Crateús,1505.2
Crato,201.5
Croatá,251.2
Cruz,92.1
Deputado Irapuan Pinheiro,155.8
Ereré,146.5
Eusébio,0
Farias Brito,82.6
Forquilha,191.7
Fortaleza,0
Fortim,15
Frecheirinha,57
General Sampaio,74.3
Graça,57.5
Granja,290.8
Granjeiro,4.9
Groaíras,66.4
Guaiúba,23.1
Guaraciaba do Norte,254.4
Guaramiranga,0
Hidrolândia,461.6
Horizonte,12.8
Ibaretama,443.8
Ibiapina,139.7
Ibicuitinga,175.9
Icapuí,69.2
Icó,330.1
Iguatu,343.7
Independência,800
Ipaporanga,311.2
Ipaumirim,96.1
Ipu,239.3
Ipueiras,545.1
Iracema,219.5
Irauçuba,286.1
Itaiçaba,86
Itaitinga,0.5
Itapajé,56.5
Itapipoca,313.9
Itapiúna,227.4
Itarema,101.7
Itatira,207.3
Jaguaretama,402.8
Jaguaribara,49.7
Jaguaribe,271.6
Jaguaruana,267.7
Jardim,151.1
Jati,80.6
Jijoca de Jericoacoara,37.7
Juazeiro do Norte,44.8
Jucás,215.6
Lavras da Mangabeira,244
Limoeiro do Norte,234.3
Madalena,455.1
Maracanaú,0.9
Maranguape,80.8
Marco,160.8
Martinópole,50.7
Massapê,142.8
Mauriti,261.3
Meruoca,0.8
Milagres,170.9
Milhã,234.4
Miraíma,20.9
Missão Velha,108
Mombaça,587
Monsenhor Tabosa,293.4
Morada Nova,981.4
Moraújo,39.8
Morrinhos,136.4
Mucambo,63.7
Mulungu,0.1
Nova Olinda,35.2
Nova Russas,370.3
Novo Oriente,397.7
Ocara,292.9
Orós,147.2
Pacajus,43.1
Pacatuba,3.9
Pacoti,0.1
Pacujá,30.3
Palhano,167.5
Palmácia,6
Paracuru,31.6
Paraipaba,37.6
Parambu,1011.1
Paramoti,223.5
Pedra Branca,229.9
Penaforte,23.2
Pentecoste,622.2
Pereiro,48.5
Pindoretama,3
Piquet Carneiro,221.8
Pires Ferreira,98.2
Poranga,551.4
Porteiras,41.8
Potengi,134.8
Potiretama,106.4
Quiterianópolis,364
Quixadá,774.6
Quixelô,232.3
Quixeramobim,1497.3
Quixeré,223.7
Redenção,12.3
Reriutaba,126.1
Russas,699.7
Saboeiro,372.8
Salitre,358
Santa Quitéria,219.9
Santana do Acaraú,236.3
Santana do Cariri,953.4
São Benedito,106
São Gonçalo do Amarante,164.1
São João do Jaguaribe,74.4
São Luís do Curu,44.3
Senador Pompeu,425.8
Senador Sá,38.9
Sobral,389.6
Solonópole,635.5
Tabuleiro do Norte,340.1
Tamboril,746.9
Tarrafas,39.5
Tauá,1377.6
Tejuçuoca,265.9
Tianguá,194.6
Trairi,131.7
Tururu,72.1
Ubajara,104
Umari,101.8
Umirim,112.1
Uruburetama,6.7
Uruoca,132.6
Varjota,82
Várzea Alegre,116.3
Viçosa do Ceará,175.7
