City,gdp
Abaiara,108550.3
Acarape,155133.42
Acaraú,836878.41
Acopiara,513878.45
Aiuaba,151190.3
Alcântaras,90408.29
Altaneira,65485.58
Alto Santo,201623.62
Amontada,534505.37
Antonina do Norte,68466.31
Apuiarés,112130.47
Aquiraz,3411179.42
Aracati,1478029.33
Aracoiaba,262316.58
Ararendá,88736.85
Araripe,189736.22
Aratuba,156987.4
Arneiroz,66417.92
Assaré,272279.47
Aurora,212868.25
Baixio,64493.19
Banabuiú,209097.18
Barbalha,1197157.24
Barreira,205182.03
Barro,226220.69
Barroquinha,122902.53
Baturité,417493.98
Beberibe,967518.28
Bela Cruz,266779.8
Boa Viagem,506713.21
Brejo Santo,707769.14
Camocim,738666.27
Campos Sales,309218.21
Canindé,994826.14
Capistrano,188732.03
Caridade,178969.47
Cariré,174629.15
Caririaçu,247912.49
Cariús,164157.31
Carnaubal,152327.22
Cascavel,954550.1
Catarina,139735.8
Catunda,104428.99
Caucaia,7257970.71
Cedro,226044.44
Chaval,101725.06
Choró,172741.16
Chorozinho,337810.94
Coreaú,190909.04
Crateús,895218.22
Crato,1719123.29
Croatá,205773.37
Cruz,295707.94
Deputado Irapuan Pinheiro,87974.89
Ereré,66902.37
Eusébio,3184375.16
Farias Brito,208411.17
Forquilha,248277.89
Fortaleza,65160893.26
Fortim,238015.6
Frecheirinha,233637.61
General Sampaio,77116.45
Graça,116810.92
Granja,438400.65
Granjeiro,46995.64
Groaíras,96576.39
Guaiúba,216414.01
Guaraciaba do Norte,636602.75
Guaramiranga,72784.77
Hidrolândia,168263.46
Horizonte,1718318.55
Ibaretama,124136.11
Ibiapina,336447.02
Ibicuitinga,112309.95
Icapuí,377215.61
Icó,679890.84
Iguatu,1752419.05
Independência,297505
Ipaporanga,96000.18
Ipaumirim,133876.12
Ipu,469798.66
Ipueiras,310329.02
Iracema,175352.35
Irauçuba,191993.18
Itaiçaba,76507.45
Itaitinga,894151.56
Itapajé,565460.52
Itapipoca,1593931.17
Itapiúna,163015.03
Itarema,696490.33
Itatira,159467.45
Jaguaretama,205184.73
Jaguaribara,141672.07
Jaguaribe,556074.77
Jaguaruana,479272.55
Jardim,260309.61
Jati,118179.71
Jijoca de Jericoacoara,425671.18
Juazeiro do Norte,4794444.24
Jucás,275623.18
Lavras da Mangabeira,285493.51
Limoeiro do Norte,1222651.79
Madalena,161207.87
Maracanaú,9893417.54
Maranguape,1500485.91
Marco,342069.57
Martinópole,89010.03
Massapê,320251.28
Mauriti,472619.95
Meruoca,120035.05
Milagres,276985.15
Milhã,168499.1
Miraíma,101279.78
Missão Velha,459612.36
Mombaça,412195.78
Monsenhor Tabosa,148143.34
Morada Nova,1168606.48
Moraújo,71996.08
Morrinhos,173201.15
Mucambo,116472.87
Mulungu,123468.94
Nova Olinda,159246.39
Nova Russas,309709.55
Novo Oriente,255795.08
Ocara,230241.35
Orós,199232.37
Pacajus,1178386.08
Pacatuba,1104196.87
Pacoti,136460.67
Pacujá,55101.33
Palhano,93035.16
Palmácia,117257.41
Paracuru,516611.29
Paraipaba,486826.45
Parambu,262157.36
Paramoti,110458.81
Pedra Branca,375742.87
Penaforte,116254.9
Pentecoste,485050.7
Pereiro,411784.71
Pindoretama,253163.11
Piquet Carneiro,151520.58
Pires Ferreira,79333.12
Poranga,97301.95
Porteiras,167374.76
Potengi,103881.53
Potiretama,86444.97
Quiterianópolis,171093.14
Quixadá,1057508.27
Quixelô,169265.98
Quixeramobim,1183703.38
Quixeré,458224.32
Redenção,385205.89
Reriutaba,178464.03
Russas,1061070.76
Saboeiro,150822.77
Salitre,146833.03
Santa Quitéria,532018.16
Santana do Acaraú,257454.32
Santana do Cariri,149440.34
São Benedito,595447.96
São Gonçalo do Amarante,4079247.62
São João do Jaguaribe,103341.64
São Luís do Curu,116903.79
Senador Pompeu,314795.02
Senador Sá,59091.73
Sobral,4497226.72
Solonópole,237857.36
Tabuleiro do Norte,380369.05
Tamboril,261315.01
Tarrafas,89211.2
Tauá,685435.06
Tejuçuoca,134793.61
Tianguá,1617767.47
Trairi,832830.18
Tururu,122088.36
Ubajara,627477.02
Umari,64509.91
Umirim,159838.58
Uruburetama,272190.7
Uruoca,193060.24
Varjota,358163.55
Várzea Alegre,433965
Viçosa do Ceará,507424.94
