City,Population
Abaiara,11965
Acarape,15140
Acaraú,63556
Acopiara,54687
Aiuaba,17584
Alcântaras,11846
Altaneira,7712
Alto Santo,16077
Amontada,44195
Antonina do Norte,7402
Apuiarés,14742
Aquiraz,81581
Aracati,75392
Aracoiaba,26600
Ararendá,10983
Araripe,21707
Aratuba,11759
Arneiroz,7848
Assaré,23537
Aurora,24567
Baixio,6318
Banabuiú,18313
Barbalha,61662
Barreira,22715
Barro,22834
Barroquinha,15069
Baturité,36127
Beberibe,54315
Bela Cruz,32851
Boa Viagem,54680
Brejo Santo,50195
Camocim,64147
Campos Sales,27513
Canindé,77484
Capistrano,17830
Caridade,23011
Cariré,18470
Caririaçu,27008
Cariús,18700
Carnaubal,17763
Cascavel,72706
Catarina,21041
Catunda,10410
Caucaia,368918
Cedro,25612
Chaval,13112
Choró,13608
Chorozinho,20286
Coreaú,23340
Crateús,75241
Crato,133913
Croatá,18201
Cruz,25121
Deputado Irapuan Pinheiro,9698
Ereré,7254
Eusébio,55035
Farias Brito,19330
Forquilha,24680
Fortaleza,2703391
Fortim,16776
Frecheirinha,14195
General Sampaio,7767
Graça,14415
Granja,55170
Granjeiro,4784
Groaíras,11219
Guaiúba,26508
Guaraciaba do Norte,40921
Guaramiranga,5073
Hidrolândia,20126
Horizonte,69688
Ibaretama,13385
Ibiapina,25165
Ibicuitinga,12730
Icapuí,20183
Icó,68303
Iguatu,103633
Independência,26196
Ipaporanga,11597
Ipaumirim,12507
Ipu,42148
Ipueiras,38064
Iracema,14351
Irauçuba,24450
Itaiçaba,7904
Itaitinga,38661
Itapajé,53448
Itapipoca,131687
Itapiúna,20653
Itarema,42595
Itatira,22018
Jaguaretama,18133
Jaguaribara,11580
Jaguaribe,34592
Jaguaruana,33960
Jardim,27187
Jati,8150
Jijoca de Jericoacoara,20351
Juazeiro do Norte,278264
Jucás,24949
Lavras da Mangabeira,31476
Limoeiro do Norte,60232
Madalena,20031
Maracanaú,230986
Maranguape,131677
Marco,27822
Martinópole,11407
Massapê,39341
Mauriti,48370
Meruoca,15309
Milagres,27413
Milhã,13129
Miraíma,13965
Missão Velha,35566
Mombaça,43917
Monsenhor Tabosa,17264
Morada Nova,61590
Moraújo,8833
Morrinhos,22830
Mucambo,14561
Mulungu,11056
Nova Olinda,15798
Nova Russas,32487
Novo Oriente,28737
Ocara,25958
Orós,21342
Pacajus,74145
Pacatuba,85647
Pacoti,12313
Pacujá,6565
Palhano,9458
Palmácia,13553
Paracuru,35526
Paraipaba,33232
Parambu,31391
Paramoti,12276
Pedra Branca,43359
Penaforte,9207
Pentecoste,38045
Pereiro,16356
Pindoretama,20964
Piquet Carneiro,17210
Pires Ferreira,11052
Poranga,12358
Porteiras,14920
Potengi,11165
Potiretama,6455
Quiterianópolis,21246
Quixadá,88899
Quixelô,16116
Quixeramobim,82455
Quixeré,22432
Redenção,29238
Reriutaba,18279
Russas,79550
Saboeiro,15757
Salitre,16714
Santa Quitéria,43719
Santana do Acaraú,32851
Santana do Cariri,17726
São Benedito,48354
São Gonçalo do Amarante,49306
São João do Jaguaribe,7557
São Luís do Curu,13086
Senador Pompeu,25418
Senador Sá,7758
Sobral,212437
Solonópole,18389
Tabuleiro do Norte,32079
Tamboril,26199
Tarrafas,8555
Tauá,59259
Tejuçuoca,19551
Tianguá,77111
Trairi,56653
Tururu,16588
Ubajara,35295
Umari,7740
Umirim,19976
Uruburetama,22223
Uruoca,13988
Varjota,18520
Várzea Alegre,41078
Viçosa do Ceará,61916
