City,Ranking
Abaiara,182
Acarape,101
Acaraú,17
Acopiara,86
Aiuaba,41
Alcântaras,65
Altaneira,180
Alto Santo,39
Amontada,13
Antonina do Norte,170
Apuiarés,123
Aquiraz,75
Aracati,4
Aracoiaba,97
Ararendá,152
Araripe,1
Aratuba,147
Arneiroz,90
Assaré,68
Aurora,161
Baixio,169
Banabuiú,58
Barbalha,84
Barreira,16
Barro,157
Barroquinha,26
Baturité,146
Beberibe,8
Bela Cruz,5
Boa Viagem,72
Brejo Santo,120
Camocim,11
Campos Sales,27
Canindé,70
Capistrano,160
Caridade,99
Cariré,73
Caririaçu,173
Cariús,155
Carnaubal,30
Cascavel,67
Catarina,108
Catunda,116
Caucaia,40
Cedro,128
Chaval,44
Choró,144
Chorozinho,135
Coreaú,87
Crateús,20
Crato,106
Croatá,29
Cruz,28
Deputado Irapuan Pinheiro,153
Ereré,159
Eusébio,119
Farias Brito,172
Forquilha,51
Fortaleza,38
Fortim,37
Frecheirinha,121
General Sampaio,164
Graça,134
Granja,2
Granjeiro,183
Groaíras,79
Guaiúba,12
Guaraciaba do Norte,15
Guaramiranga,143
Hidrolândia,91
Horizonte,114
Ibaretama,110
Ibiapina,46
Ibicuitinga,148
Icapuí,34
Icó,96
Iguatu,100
Independência,56
Ipaporanga,88
Ipaumirim,165
Ipu,102
Ipueiras,36
Iracema,140
Irauçuba,103
Itaiçaba,35
Itaitinga,63
Itapajé,151
Itapipoca,9
Itapiúna,127
Itarema,22
Itatira,125
Jaguaretama,109
Jaguaribara,179
Jaguaribe,138
Jaguaruana,14
Jardim,71
Jati,145
Jijoca de Jericoacoara,52
Juazeiro do Norte,129
Jucás,154
Lavras da Mangabeira,126
Limoeiro do Norte,130
Madalena,105
Maracanaú,45
Maranguape,54
Marco,18
Martinópole,3
Massapê,141
Mauriti,78
Meruoca,48
Milagres,163
Milhã,133
Miraíma,181
Missão Velha,81
Mombaça,89
Monsenhor Tabosa,61
Morada Nova,69
Moraújo,80
Morrinhos,57
Mucambo,118
Mulungu,150
Nova Olinda,104
Nova Russas,107
Novo Oriente,93
Ocara,77
Orós,60
Pacajus,166
Pacatuba,10
Pacoti,142
Pacujá,117
Palhano,64
Palmácia,132
Paracuru,47
Paraipaba,42
Parambu,53
Paramoti,136
Pedra Branca,59
Penaforte,167
Pentecoste,92
Pereiro,94
Pindoretama,50
Piquet Carneiro,149
Pires Ferreira,124
Poranga,31
Porteiras,162
Potengi,43
Potiretama,168
Quiterianópolis,83
Quixadá,74
Quixelô,137
Quixeramobim,25
Quixeré,113
Redenção,115
Reriutaba,111
Russas,85
Saboeiro,95
Salitre,6
Santa Quitéria,55
Santana do Acaraú,139
Santana do Cariri,21
São Benedito,33
São Gonçalo do Amarante,62
São João do Jaguaribe,176
São Luís do Curu,175
Senador Pompeu,98
Senador Sá,122
Sobral,19
Solonópole,82
Tabuleiro do Norte,112
Tamboril,66
Tarrafas,158
Tauá,7
Tejuçuoca,131
Tianguá,24
Trairi,23
Tururu,178
Ubajara,49
Umari,177
Umirim,156
Uruburetama,184
Uruoca,174
Varjota,76
Várzea Alegre,171
Viçosa do Ceará,32
