City,solar
Abaiara,1.622222222
Acarape,0.8322580645
Acaraú,1.768047337
Acopiara,2.736423841
Aiuaba,2.793344289
Alcântaras,0.1798561151
Altaneira,0.8356164384
Alto Santo,1.93348281
Amontada,1.15704584
Antonina do Norte,2.126923077
Apuiarés,3.900917431
Aquiraz,0.2286902287
Aracati,1.997562957
Aracoiaba,3.0304414
Ararendá,4.122093023
Araripe,3.404545455
Aratuba,0.2
Arneiroz,2.096622889
Assaré,1.617383513
Aurora,1.72234763
Baixio,3.821917808
Banabuiú,3.239814815
Barbalha,1.529824561
Barreira,2.37804878
Barro,1.922752809
Barroquinha,0.3844155844
Baturité,1.090614887
Beberibe,1.200617284
Bela Cruz,1.963226572
Boa Viagem,2.472329926
Brejo Santo,1.793363499
Camocim,0.5872453499
Campos Sales,2.886426593
Canindé,1.890615289
Capistrano,1.533632287
Caridade,2.824085006
Cariré,2.784676354
Caririaçu,0.6009615385
Cariús,1.547080979
Carnaubal,2.915068493
Cascavel,0.7077844311
Catarina,2.174537988
Catunda,1.046776233
Caucaia,1.343648208
Cedro,2.629476584
Chaval,1.481012658
Choró,2.262254902
Chorozinho,1.316546763
Coreaú,1.094072165
Crateús,169.2462312
Crato,1.370748299
Croatá,2.882352941
Cruz,2.233333333
Deputado Irapuan Pinheiro,2.65106383
Ereré,3.060052219
Eusébio,0
Farias Brito,1.311507937
Forquilha,2.965183752
Fortaleza,0
Fortim,0.4316546763
Frecheirinha,2.519337017
General Sampaio,2.888349515
Graça,1.631205674
Granja,0.8734509951
Granjeiro,0.39
Groaíras,3.403846154
Guaiúba,0.6928838951
Guaraciaba do Norte,3.330605565
Guaramiranga,0
Hidrolândia,3.819027921
Horizonte,0.6397515528
Ibaretama,4.047890536
Ibiapina,2.693975904
Ibicuitinga,3.310588235
Icapuí,1.306603774
Icó,1.41025641
Iguatu,2.67249757
Independência,1.988195092
Ipaporanga,3.547008547
Ipaumirim,2.796363636
Ipu,3.042925278
Ipueiras,2.952606635
Iracema,2.138855055
Irauçuba,1.56605065
Itaiçaba,3.245283019
Itaitinga,0.02631578947
Itapajé,1.048723898
Itapipoca,1.555762082
Itapiúna,3.088285229
Itarema,1.133704735
Itatira,2.118773946
Jaguaretama,1.832291074
Jaguaribara,0.5949177877
Jaguaribe,1.15716569
Jaguaruana,2.466589862
Jardim,2.190217391
Jati,1.827195467
Jijoca de Jericoacoara,1.451923077
Juazeiro do Norte,1.437751004
Jucás,1.840981857
Lavras da Mangabeira,2.05907173
Limoeiro do Norte,2.5
Madalena,3.517874396
Maracanaú,0.06542056075
Maranguape,1.094754653
Marco,2.242160279
Martinópole,1.357859532
Massapê,2.014109347
Mauriti,1.992373689
Meruoca,0.04
Milagres,2.259504132
Milhã,3.735059761
Miraíma,0.2385714286
Missão Velha,1.3374613
Mombaça,2.216139689
Monsenhor Tabosa,2.648984199
Morada Nova,2.825116949
Moraújo,0.7668269231
Morrinhos,2.622596154
Mucambo,2.670157068
Mulungu,0.007407407407
Nova Olinda,0.9929577465
Nova Russas,3.98654105
Novo Oriente,3.353003161
Ocara,3.062745098
Orós,2.045138889
Pacajus,1.349019608
Pacatuba,0.2424242424
Pacoti,0.008928571429
Pacujá,3.197368421
Palhano,3.045454545
Palmácia,0.406779661
Paracuru,0.8377483444
Paraipaba,1
Parambu,4.817708333
Paramoti,3.701863354
Pedra Branca,1.411358404
Penaforte,1.24
Pentecoste,3.612481858
Pereiro,0.8940092166
Pindoretama,0.32
Piquet Carneiro,3.018707483
Pires Ferreira,3.234567901
Poranga,3.370511841
Porteiras,1.532110092
Potengi,3.182890855
Potiretama,2.075609756
Quiterianópolis,2.797310279
Quixadá,3.067821782
Quixelô,3.319642857
Quixeramobim,151.8009768
Quixeré,2.913680782
Redenção,0.4336283186
Reriutaba,2.634464752
Russas,3.520754717
Saboeiro,2.156905278
Salitre,3.562189055
Santa Quitéria,0.4131455399
Santana do Acaraú,1.950464396
Santana do Cariri,8.910046729
São Benedito,2.50887574
São Gonçalo do Amarante,1.574340528
São João do Jaguaribe,2.125
São Luís do Curu,2.909836066
Senador Pompeu,3.399201597
Senador Sá,0.733490566
Sobral,1.46820537
Solonópole,3.309895833
Tabuleiro do Norte,3.156612529
Tamboril,3.046914839
Tarrafas,0.6960352423
Tauá,93.97710304
Tejuçuoca,2.798684211
Tianguá,1.712871287
Trairi,1.133476857
Tururu,2.856435644
Ubajara,1.976247031
Umari,3.083333333
Umirim,2.829652997
Uruburetama,0.5567010309
Uruoca,1.522238164
Varjota,3.664804469
Várzea Alegre,1.113636364
Viçosa do Ceará,1.071646341
