City,Temperature
Abaiara,25.8
Acarape,26
Acaraú,27.2
Acopiara,26.5
Aiuaba,25.9
Alcântaras,23.5
Altaneira,24.1
Alto Santo,27.2
Amontada,27
Antonina do Norte,26.3
Apuiarés,26.4
Aquiraz,26.7
Aracati,27.2
Aracoiaba,25.8
Ararendá,26.2
Araripe,24.6
Aratuba,21.1
Arneiroz,26.9
Assaré,25.7
Aurora,26.5
Baixio,26.4
Banabuiú,26.5
Barbalha,25.7
Barreira,25.9
Barro,25.8
Barroquinha,27.6
Baturité,25.5
Beberibe,26.9
Bela Cruz,27.3
Boa Viagem,26.2
Brejo Santo,25.8
Camocim,27.6
Campos Sales,24.9
Canindé,25.8
Capistrano,25.6
Caridade,25.6
Cariré,26.9
Caririaçu,23.8
Cariús,27
Carnaubal,23.1
Cascavel,26.7
Catarina,25
Catunda,26.4
Caucaia,26.7
Cedro,26.7
Chaval,27.7
Choró,25.6
Chorozinho,26.4
Coreaú,27.3
Crateús,27.3
Crato,25.6
Croatá,24.8
Cruz,27.2
Deputado Irapuan Pinheiro,26.6
Ereré,26.6
Eusébio,26.6
Farias Brito,26.5
Forquilha,27.1
Fortaleza,26.7
Fortim,27.1
Frecheirinha,27.1
General Sampaio,26.2
Graça,26.9
Granja,27.6
Granjeiro,26.4
Groaíras,27.2
Guaiúba,26.3
Guaraciaba do Norte,22.2
Guaramiranga,20.8
Hidrolândia,26.9
Horizonte,26.3
Ibaretama,26.1
Ibiapina,22.3
Ibicuitinga,26.1
Icapuí,27.5
Icó,27.2
Iguatu,27.1
Independência,26.8
Ipaporanga,26.9
Ipaumirim,26.3
Ipu,26.6
Ipueiras,26.9
Iracema,27
Irauçuba,26.3
Itaiçaba,27.2
Itaitinga,26.3
Itapajé,25.4
Itapipoca,26.4
Itapiúna,25.8
Itarema,27.1
Itatira,22.3
Jaguaretama,27
Jaguaribara,26.7
Jaguaribe,27.1
Jaguaruana,27.3
Jardim,24.2
Jati,25.5
Jijoca de Jericoacoara,27.4
Juazeiro do Norte,25.7
Jucás,26.9
Lavras da Mangabeira,26.7
Limoeiro do Norte,27.3
Madalena,25.6
Maracanaú,26.5
Maranguape,26.2
Marco,27.2
Martinópole,27.1
Massapê,27.1
Mauriti,25.7
Meruoca,23.3
Milagres,26
Milhã,26.7
Miraíma,26.9
Missão Velha,26
Mombaça,26.8
Monsenhor Tabosa,23.7
Morada Nova,27.2
Moraújo,27.3
Morrinhos,27.1
Mucambo,26.8
Mulungu,21.3
Nova Olinda,25.6
Nova Russas,27
Novo Oriente,27.1
Ocara,26
Orós,27
Pacajus,26.3
Pacatuba,26.4
Pacoti,21.7
Pacujá,27.1
Palhano,27.2
Palmácia,23.8
Paracuru,26.7
Paraipaba,26.7
Parambu,26.1
Paramoti,26
Pedra Branca,25
Penaforte,25.1
Pentecoste,26.5
Pereiro,24.3
Pindoretama,26.7
Piquet Carneiro,26.7
Pires Ferreira,26.9
Poranga,24
Porteiras,25.1
Potengi,24.9
Potiretama,26.7
Quiterianópolis,26.7
Quixadá,26
Quixelô,27
Quixeramobim,26.3
Quixeré,27.3
Redenção,26
Reriutaba,27.1
Russas,27.3
Saboeiro,26.8
Salitre,24.3
Santa Quitéria,26.5
Santana do Acaraú,27.2
Santana do Cariri,25.1
São Benedito,22.2
São Gonçalo do Amarante,26.7
São João do Jaguaribe,27.3
São Luís do Curu,26.6
Senador Pompeu,26.9
Senador Sá,27.1
Sobral,27.2
Solonópole,26.9
Tabuleiro do Norte,27.4
Tamboril,26.4
Tarrafas,26.6
Tauá,26.7
Tejuçuoca,26.2
Tianguá,22.9
Trairi,26.9
Tururu,26.3
Ubajara,22.4
Umari,26.3
Umirim,26.5
Uruburetama,26.3
Uruoca,27.1
Varjota,26.8
Várzea Alegre,26.4
Viçosa do Ceará,23.4
